health_index,rul_hours,degradation_rate,anomaly_severity,egt_deviation,cht_deviation,oil_pressure_deviation,vibration_deviation,mission_duration,mission_altitude,engine_load,label
100.0,1409.8,0.0291,0.0,0.6,-0.9,-0.0,0.0,239.0,6583.0,91.5,1
100.0,1893.5,0.0031,0.0,1.8,-2.9,1.8,0.0,130.1,13901.0,78.6,1
75.36,1270.9,0.0083,0.045,15.4,8.6,-3.6,1.687,234.7,5318.0,98.2,1
98.48,1998.4,0.0069,0.0,-3.4,-2.0,1.0,0.41,291.2,4887.0,62.2,0
60.03,1127.1,0.0224,0.028,26.3,12.7,-5.8,1.033,254.8,10504.0,58.7,1
70.41,1173.3,0.008,0.036,23.7,6.3,-3.4,0.0,242.5,9973.0,82.3,2
100.0,1958.7,0.0009,0.0,-2.3,2.6,-0.4,0.0,236.5,9521.0,73.2,1
84.27,1655.0,0.0426,0.075,11.8,3.8,-1.9,0.062,93.2,875.0,56.9,0
94.61,1609.1,0.0187,0.0,5.4,3.0,0.4,0.086,36.1,1351.0,83.3,1
36.59,394.0,0.045,0.101,30.3,17.9,-8.8,1.407,111.4,9454.0,61.7,2
51.5,859.2,0.0028,0.019,28.8,15.3,-9.9,0.489,223.6,6740.0,56.3,1
80.66,1772.2,0.0091,0.012,11.5,6.5,-0.8,0.901,234.8,10792.0,65.9,0
60.81,909.2,0.0071,0.168,24.7,11.1,-10.0,0.472,69.0,1551.0,75.3,2
100.0,1882.9,0.0093,0.0,-10.7,0.8,-1.6,0.0,241.3,1241.0,69.2,0
84.71,1493.1,0.0681,0.017,6.0,4.4,0.8,0.447,148.5,324.0,89.6,2
51.05,773.8,0.015,0.19,31.1,12.0,-6.9,1.416,59.1,13740.0,53.8,1
93.38,1589.9,0.0228,0.0,-2.7,2.5,2.0,0.245,169.1,3839.0,96.2,1
86.58,1476.3,0.0132,0.009,15.1,4.6,-4.9,0.0,271.2,7783.0,59.0,0
68.5,1525.4,0.0695,0.04,12.8,11.4,-6.5,0.785,63.1,12467.0,49.2,1
82.72,1617.7,0.0021,0.068,5.3,1.5,-4.9,0.265,68.9,209.0,53.8,0
65.47,1113.0,0.0173,0.128,25.7,9.9,-7.6,0.751,223.2,11085.0,47.9,1
82.71,1534.5,0.0405,0.033,5.2,4.3,-6.0,0.137,179.9,9510.0,46.4,0
60.38,657.3,0.0392,0.247,19.1,9.3,-7.3,0.112,34.8,1637.0,89.8,2
47.1,1215.1,0.0044,0.006,27.3,16.9,-6.1,0.829,152.6,3718.0,54.2,2
68.72,1210.1,0.0102,0.009,15.9,10.1,-6.7,1.018,68.8,13815.0,49.9,1
81.59,1468.7,0.0109,0.008,9.6,11.8,-0.2,0.653,213.8,5904.0,59.1,0
46.63,1077.5,0.001,0.268,20.6,18.8,-8.7,0.779,43.3,5604.0,71.4,2
71.23,1261.5,0.0233,0.017,23.2,0.9,-5.7,0.807,246.5,11692.0,78.5,2
89.84,1962.6,0.0058,0.103,3.9,2.9,-3.9,0.087,101.9,2097.0,68.7,0
100.0,1887.8,0.0575,0.0,2.2,2.5,-0.6,0.033,286.2,13745.0,68.9,2
100.0,1761.9,0.0223,0.0,3.8,5.5,1.5,0.0,107.8,11023.0,52.1,0
100.0,1927.5,0.0134,0.0,-5.1,0.1,-2.4,0.0,67.1,14383.0,88.1,1
98.26,1310.5,0.0199,0.0,1.3,1.8,2.9,0.0,196.4,2569.0,73.9,1
100.0,1873.7,0.0046,0.0,-2.9,2.4,2.1,0.116,281.4,1796.0,47.0,0
75.57,1329.8,0.0036,0.311,8.1,7.0,-1.4,0.239,235.9,4058.0,61.9,0
80.34,1712.0,0.015,0.032,13.6,12.9,-3.9,0.0,282.8,11705.0,68.8,0
100.0,1479.5,0.0455,0.0,-8.0,-2.4,0.9,0.262,188.8,10291.0,40.7,0
81.63,1375.0,0.0284,0.002,10.8,7.8,-2.8,0.724,240.9,1659.0,99.8,1
100.0,1721.3,0.0436,0.0,-1.3,-0.4,1.7,0.0,95.0,2145.0,86.6,1
59.65,1223.6,0.0398,0.222,27.6,16.1,-7.4,1.685,246.4,3578.0,91.0,2
35.58,462.9,0.0297,0.019,44.0,15.2,-10.8,1.09,200.1,12767.0,49.3,2
100.0,1679.0,0.0146,0.0,-5.3,-2.0,0.9,0.0,41.4,13262.0,82.6,1
69.72,959.5,0.0062,0.053,22.2,10.2,-5.7,0.931,184.6,2177.0,96.8,2
84.81,1741.8,0.0073,0.102,8.2,5.5,-4.4,0.0,158.0,1788.0,48.0,0
71.2,1669.1,0.0015,0.046,17.6,7.4,-5.8,0.813,188.8,4756.0,42.2,1
45.74,824.6,0.0255,0.104,37.0,16.6,-8.6,1.328,115.4,11811.0,72.9,2
54.45,1113.3,0.0312,0.01,23.6,15.0,-8.8,1.606,170.5,11998.0,58.9,1
35.15,905.4,0.0083,0.227,28.2,10.6,-12.8,2.832,230.5,220.0,89.6,2
33.17,537.6,0.0353,0.001,40.7,21.1,-10.7,1.327,238.5,4664.0,81.3,2
53.37,1227.8,0.0066,0.056,23.4,18.4,-8.1,1.295,255.8,14837.0,73.4,2
66.54,1288.2,0.0114,0.095,15.7,13.5,-10.8,0.443,156.7,2260.0,50.9,1
74.62,1292.5,0.0119,0.01,8.9,9.7,-3.2,0.827,95.8,12654.0,78.3,2
77.39,1331.6,0.0261,0.195,6.2,4.1,-4.2,0.732,160.3,11529.0,91.1,1
100.0,1768.1,0.0831,0.0,2.7,0.6,-2.9,0.0,200.3,2663.0,60.3,1
36.36,921.6,0.0291,0.071,36.8,11.9,-13.8,1.444,105.1,10546.0,78.0,2
44.7,637.1,0.0369,0.049,24.3,17.3,-6.3,0.557,264.0,1712.0,83.9,2
100.0,1848.3,0.031,0.0,2.6,-1.7,2.5,0.0,41.1,11660.0,69.4,0
93.44,1344.9,0.0029,0.0,-1.6,2.7,-4.0,0.387,246.6,13871.0,89.4,1
87.25,1447.7,0.0046,0.112,7.2,4.6,-3.5,0.554,263.7,11091.0,88.1,1
48.78,395.5,0.0084,0.305,26.1,9.6,-9.8,1.137,138.4,13435.0,80.3,2
95.74,1424.4,0.0301,0.0,12.6,1.8,-1.4,0.036,269.4,2814.0,45.1,0
28.08,538.3,0.013,0.059,38.7,26.6,-15.2,2.092,185.2,14964.0,82.1,2
100.0,1735.2,0.0311,0.0,-0.1,-2.7,-0.7,0.0,34.8,6799.0,78.1,1
64.32,644.8,0.0121,0.117,16.1,6.8,-4.8,1.067,93.5,4880.0,94.5,2
91.63,1616.0,0.0035,0.0,7.7,6.3,-2.5,0.0,266.1,4249.0,73.7,1
66.23,1107.3,0.0132,0.158,23.3,3.4,-7.7,0.453,80.0,8433.0,46.1,1
73.97,1554.0,0.0013,0.045,14.0,11.0,-6.6,0.196,96.4,983.0,67.3,2
79.59,1573.0,0.0239,0.0,10.2,2.5,-6.8,0.853,111.6,5912.0,65.0,0
100.0,1343.9,0.0464,0.0,-4.6,4.4,0.6,0.384,240.8,12618.0,55.6,0
81.75,1581.2,0.0134,0.157,10.8,7.8,-1.7,0.0,43.1,6912.0,82.7,1
49.38,516.9,0.0002,0.022,36.8,16.7,-9.9,0.819,197.4,3625.0,74.2,2
100.0,2157.0,0.0131,0.0,-4.6,2.6,1.3,0.221,98.7,13782.0,67.3,0
99.11,1852.1,0.0062,0.0,0.9,-1.4,-2.7,0.863,88.4,6210.0,59.1,0
100.0,1802.4,0.0052,0.0,-5.5,1.2,0.1,0.0,229.4,4757.0,93.4,1
100.0,1802.3,0.0538,0.0,0.2,-0.6,-2.2,0.0,31.1,249.0,99.6,2
91.74,1293.9,0.0008,0.0,9.5,5.7,0.6,0.226,43.6,8919.0,57.7,0
91.38,1902.3,0.0226,0.0,4.1,-1.1,-2.2,0.324,194.9,8303.0,63.8,0
64.88,1042.2,0.0225,0.064,20.5,11.4,-8.6,0.637,33.4,11940.0,71.2,2
45.14,389.1,0.0373,0.155,30.3,16.1,-7.4,0.035,83.9,12885.0,94.8,2
68.61,1084.3,0.0143,0.036,24.4,14.9,-6.3,1.737,241.4,8549.0,46.3,1
83.93,1583.9,0.0434,0.018,5.3,7.7,-3.6,0.157,131.8,10790.0,93.3,1
80.42,1514.9,0.0023,0.09,14.1,2.9,-6.4,0.46,83.1,5658.0,63.6,0
39.73,633.8,0.035,0.095,34.5,15.1,-9.4,1.538,267.9,4172.0,52.1,2
73.37,1300.0,0.0443,0.021,19.4,4.7,-7.1,0.119,163.8,1660.0,55.1,1
4.95,0.0,0.0268,0.131,50.2,28.6,-17.7,2.901,67.2,4567.0,73.2,3
33.93,688.7,0.0275,0.292,44.3,18.0,-7.8,1.539,187.7,11027.0,57.8,2
57.45,1113.5,0.0017,0.032,28.3,16.2,-4.8,1.329,57.1,3968.0,90.8,2
53.99,995.7,0.0408,0.072,34.7,13.3,-7.5,1.034,97.1,3672.0,49.7,1
100.0,2129.5,0.0033,0.0,2.9,-3.5,-0.2,0.47,65.6,1885.0,97.1,1
94.72,1945.1,0.0087,0.0,1.1,2.6,-6.8,0.323,62.1,13753.0,59.3,0
94.33,1465.4,0.0025,0.0,10.0,0.3,3.5,0.141,230.2,7031.0,49.2,0
49.93,876.8,0.0001,0.431,23.8,17.8,-8.9,1.11,244.3,3179.0,95.4,2
50.01,691.8,0.0175,0.05,20.4,16.3,-8.1,0.484,200.7,5894.0,95.3,2
98.96,1500.4,0.0611,0.0,-0.9,-1.1,1.6,0.766,77.9,10171.0,90.8,2
90.58,1783.8,0.0319,0.0,5.8,5.3,-1.8,0.0,128.9,11078.0,64.2,0
90.21,1757.7,0.0194,0.0,9.2,4.1,-4.2,0.966,140.2,6601.0,47.5,0
